name	@lat	@lon
Chełmska	50.0678435	19.8471245
Chełmska	50.0679605	19.8473727
Olszanicka	50.0678774	19.8464765
Olszanicka	50.0681587	19.8437266
Chełmska	50.0677192	19.8468934
Chełmska	50.0647657	19.8415363
Podłużna	50.0681309	19.8467489
Podłużna	50.0729385	19.8481002
Rondo im. Żołnierzy Wyklętych	50.0742378	19.9289878
Mazowiecka	50.0773360	19.9199838
Mazowiecka	50.0740207	19.9291462
Świętokrzyska	50.0744499	19.9291688
Świętokrzyska	50.0755023	19.9295496
Świętokrzyska	50.0744715	19.9290904
Mazowiecka	50.0740577	19.9292194
Rynek Kleparski	50.0673517	19.9409686
Plac Jana Matejki	50.0664702	19.9423272
Plac Jana Matejki	50.0665801	19.9421352
Świętego Rafała Kalinowskiego	50.0704179	19.9451906
Pędzichów	50.0711131	19.9390001
Pędzichów	50.0715555	19.9391953
Zygmunta Wróblewskiego	50.0696453	19.9390121
Ambrożego Grabowskiego	50.0669855	19.9275781
Bosacka	50.0651076	19.9492018
Bosacka	50.0665399	19.9495376
Stanisława Przybyszewskiego	50.0782995	19.8972819
Filtrowa	50.0779932	19.8782265
Zygmunta Starego	50.0776695	19.8765209
Włodzimierza Tetmajera	50.0864234	19.8800826
Majora Łupaszki	50.0907896	19.8648195
Tadeusza Boya-Żeleńskiego	50.0866735	19.8801540
Władysława Żeleńskiego	50.0906787	19.8783936
Włodzimierza Tetmajera	50.0919078	19.8654146
Krowoderskich Zuchów	50.0839335	19.9306887
Rusznikarska	50.0853552	19.9270175
Bronowicka	50.0792451	19.8970675
Bolesława Prusa	50.0573934	19.9163649
Aleja Marszałka Ferdinanda Focha	50.0567913	19.9064954
Aleja Marszałka Ferdinanda Focha	50.0568425	19.9067915
Piastowska	50.0589369	19.8991397
Śląska	50.0748280	19.9323664
Zakopiańska	49.9931452	19.9176147
Rondo Andrzeja Pamuły	50.0005927	19.9447256
Podmokła	50.0055289	19.9441911
Zbigniewa Herberta	50.0141360	19.9452565
Węzeł Łagiewnicki Adama Sapiehy	50.0008158	19.9400513
Zbigniewa Herberta	50.0014394	19.9407055
Zbigniewa Herberta	50.0013348	19.9404421
Zbigniewa Herberta	50.0021682	19.9412571
Węzeł Łagiewnicki Adama Sapiehy	50.0022026	19.9397743
Elżbiety Drużbackiej	49.9763396	19.9880371
Marii Konopnickiej	50.0371978	19.9399885
Józefa Friedleina	50.0768424	19.9314413
Plac Teodora Axentowicza	50.0717428	19.9248015
Kujawska	50.0738038	19.9231142
Aleja Artura Grottgera	50.0741032	19.9239971
Miechowska	50.0666667	19.9142195
Kamienna	50.0773843	19.9467273
