Elizy Orzeszkowej,50.0499359,19.9387633
Beera Meiselsa,50.0505172,19.9418126
Generała Tadeusza Bora-Komorowskiego,50.0876100,20.0013396
Opolska,50.0895796,19.9101541
Estakada Generała Tadeusza Rozwadowskiego,50.0859728,19.9552185
Estakada Generała pilota Mateusza Iżyckiego,50.0852440,19.9729513
Lublańska,50.0850585,19.9660882
Mieczysława Medweckiego,50.0761631,20.0027445
Nawojki,50.0698359,19.9055522
Czarnowiejska,50.0654041,19.9244769
Karmelicka,50.0689081,19.9267104
Władysława Reymonta,50.0673438,19.9036439
Kazimierza Wielkiego,50.0749904,19.9114832
Witkowicka,50.1090794,19.9636927
Aleja Ignacego Daszyńskiego,50.0518321,19.9549144
Akacjowa,50.0816223,19.9788106
XX Pijarów,50.0849004,19.9756233
Dobrego Pasterza,50.0876577,19.9969288
Strzelców,50.0893487,19.9737114
Powstańców,50.0977642,19.9723426
Imbramowska,50.0904453,19.9445200
Fabryczna,50.0606985,19.9705985
Janusza Meissnera,50.0767535,19.9788463
Tadeusza Romanowicza,50.0448162,19.9621086
Józefińska,50.0450343,19.9567768
Benedyktyńska,50.0200806,19.8018984
Dąbrowa,50.0187311,19.8424590
Tyniecka,50.0514410,19.9242480
Bolesława Śmiałego,50.0157105,19.8090909
Bogucianka,50.0126867,19.8107231
Jana Brożka,50.0304260,19.9264414
Zachodnia,50.0246276,19.9083112
Norymberska,50.0363215,19.8979275
Zygmunta Miłkowskiego,50.0274847,19.9203511
Kamieniarska,50.0308478,19.9133473
Słomiana,50.0440633,19.9254740
Komandosów,50.0454675,19.9299418
Kapelanka,50.0453576,19.9227061
Szwedzka,50.0440545,19.9273011
Władysława Mitkowskiego,50.0461303,19.9266944
Dworska,50.0454825,19.9292045
Barska,50.0436768,19.9341757
Ruczaj,50.0251845,19.9239062
Strąkowa,50.0258770,19.9247790
Podhalańska,50.0217283,19.9173692
Turonia,50.0247289,19.9222668
Zbrojarzy,50.0184610,19.9309986
Juliana Ursyna Niemcewicza,50.0181263,19.9266534
Zdunów,50.0210197,19.9198223
Rynek Fałęcki,50.0180029,19.9234066
Chłodna,50.0184309,19.9252935
Tęczowa,50.0180952,19.9248510
Dekarzy,50.0214431,19.9214713
Pastelowa,50.0251509,19.9148912
Michała Bałuckiego,50.0500991,19.9263027
Adolfa Nowaczyńskiego,50.0475321,19.9196325
Czarodziejska,50.0489975,19.9143955
