28 Lipca 1943
30 sekund
8 Pułku Ułanów
8 Pułku Ułanów - projektowana
Abrahama
Adama Asnyka
Adama Bochenka
Adama Chmiela
Adama Chmielowskiego
Adama Ciołkosza
Adama Habeli
Adama Krzyżanowskiego
Adama Marczyńskiego
Adama Prażmowskiego
Adama Próchnika
Adama Rysiewicza
Adama Staszczyka
Adama Vetulaniego
Adolfa Aleksandrowicza
Adolfa Nowaczyńskiego
Adolfa Szyszki-Bohusza
Adriana Baranieckiego
Agatowa
Agawy
Agrestowa
Akacjowa
Akademicka
Aktorów
Albatrosów
Albańska
Alberta Schweitzera
Aleja 29 Listopada
Aleja 3 Maja
Aleja Adama Mickiewicza
Aleja Adolfa Dygasińskiego
Aleja Adolfa Hyły
Aleja Artura Grottgera
Aleja Do Kopca
Aleja Edwarda Dembowskiego
Aleja Elvisa Presleya
Aleja Główna
Aleja Ignacego Daszyńskiego
Aleja Jana Pawła II
Aleja Jerzego Waszyngtona
Aleja Juliusza Słowackiego
Aleja Kasy Oszczędności Miasta Krakowa
Aleja Kasztanowa
Aleja Kijowska
Aleja Konarowa
Aleja Lipowa
Aleja Marszałka Ferdinanda Focha
Aleja Mieczysława Małeckiego
Aleja Miry
Aleja Modrzewiowa
Aleja Murali
Aleja Panieńskich Skał
Aleja Pod Kopcem
Aleja Pokoju
Aleja Powstania Warszawskiego
Aleja Powstańców Śląskich
Aleja Przyjaźni
Aleja Pustelnika
Aleja Pułkownika Władysława Beliny-Prażmowskiego
Aleja Róż
Aleja Solidarności
Aleja Sosnowa
Aleja Wawelska
Aleja Wojciecha Młynarskiego
Aleja Wędrowników
Aleja Zasłużonych
Aleja Zygmunta Krasińskiego
Aleja generała Jana Skrzyneckiego
Aleja generała Władysława Andersa
Aleja główna
Aleja Żubrowa
Alejka Druha Henryka Sroki
Alejka Jaśminowa
Alejka Konwaliowa
Alejka M. Lewińskiego
Alejka Magnoliowa
Alejka Ochrony Przyrody
Alejka Różana
Alejka Tulipanowa
Alejka Wrzosowa
Aleksandra Brücknera
Aleksandra Fredry
Aleksandra Gryglewskiego
Aleksandra Humboldta
Aleksandra Kotsisa
Aleksandra Krępy
Aleksandra Lubomirskiego
Aleksandra Orłowskiego
Aleksandra Prystora
Aleksandra Szukiewicza
Aleksandra Zelwerowicza
Aleksandry
Alfreda Dauna
Algierska
Aliny
Alojzego Horaka
Alojzego Kaczmarczyka
Altanowa
Amarantowa
Amazonek
Ambrożego Grabowskiego
Ametystowa
Amfiteatr
Andegaweńska
Andrieja Sacharowa
Andrychowska
Andrzeja Badurskiego
Andrzeja Frycza-Modrzewskiego
Andrzeja Kmicica
Andrzeja Małkowskiego
Andrzeja Michalika
Andrzeja Mycielskiego
Andrzeja Potebni
Andrzeja Sokołowskiego
Andrzeja Stopki
Andrzeja Struga
Andrzeja Szewczyka
Andrzeja Waligórskiego
Andrzeja Zauchy
Andrzeja i Józefa Załuskich
Anieli Krzywoń
Anny Jagiellonki
Anny Libera
Anny Szwed-Śniadowskiej
